time_step,cancer,cd8,cd4,m0,m1,m2
0,127,0,0,0,0,0
1,128,0,0,0,0,0
2,135,0,0,0,0,0
3,135,0,0,0,0,0
4,139,0,0,0,0,0
5,146,0,0,0,0,0
6,149,0,0,0,0,0
7,154,0,0,0,0,0
8,159,0,0,0,0,0
9,165,0,0,0,0,0
10,170,0,0,0,0,0
11,174,0,0,0,0,0
12,183,0,0,0,0,0
13,187,0,0,0,0,0
14,187,0,0,0,0,0
15,192,0,0,0,0,0
16,202,0,0,0,0,0
17,212,0,0,0,0,0
18,220,0,0,0,0,0
19,231,0,0,0,0,0
20,244,0,0,0,0,0
21,249,0,0,0,0,0
22,261,0,0,0,0,0
23,264,0,0,0,0,0
24,271,0,0,0,0,0
25,281,0,0,0,0,0
26,288,0,0,0,0,0
27,294,0,0,0,0,0
28,304,0,0,0,0,0
29,317,0,0,0,0,0
30,326,0,0,0,0,0
31,335,0,0,0,0,0
32,347,0,0,0,0,0
33,361,0,0,0,0,0
34,373,0,0,0,0,0
35,381,0,0,0,0,0
36,384,0,0,0,0,0
37,392,0,0,0,0,0
38,407,0,0,0,0,0
39,423,0,0,0,0,0
40,431,0,0,0,0,0
41,439,0,0,0,0,0
42,458,0,0,0,0,0
43,468,0,0,0,0,0
44,479,0,0,0,0,0
45,489,0,0,0,0,0
46,503,0,0,0,0,0
47,510,0,0,0,0,0
48,526,0,0,0,0,0
49,545,0,0,0,0,0
50,563,0,0,0,0,0
51,578,0,0,0,0,0
52,587,0,0,0,0,0
53,602,0,0,0,0,0
54,608,0,0,0,0,0
55,629,0,0,0,0,0
56,644,0,0,0,0,0
57,660,0,0,0,0,0
58,669,0,0,0,0,0
59,683,0,0,0,0,0
60,709,0,0,0,0,0
61,734,0,0,0,0,0
62,753,0,0,0,0,0
63,774,0,0,0,0,0
64,795,0,0,0,0,0
65,815,0,0,0,0,0
66,832,0,0,0,0,0
67,851,0,0,0,0,0
68,861,0,0,0,0,0
69,890,0,0,0,0,0
70,914,0,0,0,0,0
71,940,0,0,0,0,1
72,965,0,0,0,0,2
73,986,0,0,1,0,2
74,1007,0,0,1,0,2
75,1028,0,0,2,0,2
76,1054,0,0,2,0,3
77,1070,1,1,3,0,3
78,1094,1,1,2,0,5
79,1121,1,1,3,0,5
80,1132,0,1,3,0,6
81,1163,0,1,0,0,10
82,1190,0,1,1,0,9
83,1224,1,2,2,0,9
84,1252,1,2,4,0,9
85,1286,1,2,4,0,10
86,1317,1,2,3,0,12
87,1346,1,2,4,0,12
88,1373,2,3,3,1,13
89,1408,2,3,5,0,14
90,1437,2,3,2,1,16
91,1474,2,3,4,0,17
92,1510,3,4,4,0,18
93,1532,2,4,4,0,20
94,1572,2,4,4,0,22
95,1602,2,4,5,0,22
96,1627,2,5,6,0,22
97,1660,2,5,7,0,22
98,1690,2,5,7,0,24
99,1729,3,6,6,0,27
100,1756,2,6,4,1,28
101,1789,2,5,4,1,30
102,1826,2,6,5,0,33
103,1857,2,6,6,0,34
104,1887,2,6,7,0,34
105,1920,3,7,8,0,35
106,1961,3,7,8,0,38
107,2003,4,8,7,0,41
108,2023,3,8,8,0,42
109,2050,3,8,7,2,43
110,2089,4,9,7,2,44
111,2129,4,9,7,2,46
112,2159,5,10,7,2,49
113,2188,5,10,7,1,52
114,2229,6,11,9,3,51
115,2267,5,11,4,2,59
116,2321,6,12,4,2,62
117,2360,4,12,5,3,63
118,2390,5,13,5,2,65
119,2459,5,13,4,0,70
120,2501,6,14,7,3,65
