time_step,cancer,cd8_activate,cd8_suppressed,cd4_helper,cd4_regulatory,m0,m1,m2,radius
0,138,0,0,0,0,0,0,0,203
1,146,0,0,0,0,0,0,0,202
2,150,0,0,0,0,0,0,0,217
3,155,0,0,0,0,0,0,0,216
4,163,0,0,0,0,0,0,0,219
5,168,0,0,0,0,0,0,0,218
6,176,0,0,0,0,0,0,0,218
7,181,0,0,0,0,0,0,0,227
8,189,0,0,0,0,0,0,0,227
9,192,0,0,0,0,0,0,0,240
10,196,0,0,0,0,0,0,0,241
11,202,0,0,0,0,0,0,0,246
12,205,0,0,0,0,0,0,0,248
13,214,0,0,0,0,0,0,0,247
14,219,0,0,0,0,0,0,0,244
15,228,0,0,0,0,0,0,0,247
16,231,0,0,0,0,0,0,0,248
17,245,0,0,0,0,0,0,0,251
18,246,0,0,0,0,0,0,0,255
19,255,0,0,0,0,0,0,0,253
20,262,0,0,0,0,0,0,0,253
21,272,0,0,0,0,0,0,0,251
22,280,0,0,0,0,0,0,0,247
23,285,0,0,0,0,0,0,0,252
24,295,0,0,0,0,0,0,0,253
25,301,0,0,0,0,0,0,0,251
26,305,0,0,0,0,0,0,0,253
27,317,0,0,0,0,0,0,0,254
28,328,0,0,0,0,0,0,0,257
29,339,0,0,0,0,0,0,0,260
30,345,0,0,0,0,0,0,0,268
31,345,0,0,0,0,0,0,0,272
32,356,0,0,0,0,0,0,0,270
33,365,0,0,0,0,0,0,0,273
34,375,0,0,0,0,0,0,0,275
35,382,0,0,0,0,0,0,0,277
36,393,0,0,0,0,0,0,0,280
37,399,0,0,0,0,0,0,0,282
38,412,0,0,0,0,0,0,0,281
39,421,0,0,0,0,0,0,0,285
40,433,0,0,0,0,0,0,0,287
41,449,0,0,0,0,0,0,0,290
42,476,0,0,0,0,0,0,0,291
43,487,0,0,0,0,0,0,0,294
44,498,0,0,0,0,0,0,0,294
45,504,0,0,0,0,0,0,0,295
46,522,0,0,0,0,0,0,0,295
47,539,0,0,0,0,0,0,0,300
48,560,0,0,0,0,0,0,0,306
49,579,0,0,0,0,0,0,0,311
50,591,0,0,0,0,0,0,0,324
51,611,0,0,0,0,0,0,0,324
52,623,0,0,0,0,0,0,0,325
53,642,0,0,0,0,0,0,0,322
54,658,0,0,0,0,0,0,0,324
55,678,0,0,0,0,0,0,0,325
56,693,0,0,0,0,0,0,0,328
57,712,0,0,0,0,0,0,0,329
58,726,0,0,0,0,0,0,0,329
59,742,0,0,0,0,0,0,0,330
60,762,0,0,0,0,0,0,0,330
61,778,0,0,0,0,0,0,0,332
62,802,0,0,0,0,0,0,0,342
63,817,0,0,0,0,0,0,0,344
64,839,0,0,0,0,0,0,0,350
65,852,0,0,0,0,0,0,0,354
66,873,0,0,0,0,0,0,0,353
67,889,0,0,0,0,0,0,0,359
68,910,0,0,0,0,0,0,0,367
69,941,0,0,0,0,0,0,0,369
70,955,0,0,0,0,0,0,0,373
71,979,0,0,0,0,1,0,0,375
72,1002,0,0,0,0,2,0,0,380
73,1035,0,0,0,0,1,0,2,383
74,1062,0,0,0,0,1,0,3,373
75,1068,0,0,0,0,2,0,3,380
76,1094,1,0,1,0,2,0,4,384
77,1131,1,0,1,0,3,0,4,392
78,1153,1,0,1,0,3,0,5,395
79,1175,1,0,1,0,3,0,6,398
80,1195,1,0,1,0,4,0,7,397
81,1225,2,0,2,0,5,0,7,401
82,1250,2,0,2,0,4,0,8,408
83,1287,2,0,2,0,2,0,11,409
84,1312,2,0,2,0,2,0,13,408
85,1333,1,0,2,0,2,0,13,418
86,1363,2,0,3,0,1,0,15,425
87,1393,2,0,3,0,3,2,13,426
88,1421,2,0,3,0,3,0,16,431
89,1446,2,0,3,0,5,0,16,440
90,1485,3,0,3,1,6,0,16,446
91,1527,3,0,2,2,8,0,16,452
92,1545,3,0,2,2,7,0,19,454
93,1596,3,0,2,2,4,1,22,455
94,1644,4,0,3,1,6,0,23,462
95,1679,4,0,3,1,7,0,24,465
96,1710,4,0,2,2,8,2,22,467
97,1740,5,0,2,2,8,0,25,472
98,1774,5,0,2,2,8,0,27,479
99,1805,5,0,1,3,8,0,29,489
100,1849,6,0,2,3,7,1,31,492
101,1871,6,0,2,3,5,1,35,497
102,1906,6,0,1,4,6,0,37,496
103,1942,6,0,2,4,6,0,38,501
104,1990,6,0,2,4,7,1,38,506
105,2027,7,0,3,4,5,0,43,509
106,2063,7,0,3,4,6,0,43,513
107,2100,7,0,2,5,9,0,42,530
108,2141,8,0,3,5,9,0,42,533
109,2183,8,0,3,5,10,1,43,537
110,2237,8,0,3,6,9,2,45,541
111,2268,7,0,3,6,8,0,51,544
112,2319,7,0,4,6,10,1,51,545
113,2360,6,0,4,6,12,2,49,547
114,2397,6,0,5,6,13,1,52,555
115,2414,6,0,3,8,11,1,56,558
116,2443,7,0,4,8,9,2,56,560
117,2475,7,0,3,9,11,0,57,564
118,2519,8,0,4,8,11,1,59,567
119,2572,7,1,4,8,12,0,62,569
120,2606,6,2,5,8,12,0,64,581
